,Time,0,maxes,vidID,h,m,s
3,1900-01-03 00:03:50,2.0,7.0,187168785,00,02,50
4,1900-01-03 00:04:00,2.0,7.0,187168785,00,03,00
5,1900-01-03 00:04:10,2.0,7.0,187168785,00,03,10
24,1900-01-03 00:07:20,1.0,3.0,187168785,00,06,20
25,1900-01-03 00:07:30,1.0,3.0,187168785,00,06,30
26,1900-01-03 00:07:40,1.0,3.0,187168785,00,06,40
27,1900-01-03 00:07:50,1.0,3.0,187168785,00,06,50
28,1900-01-03 00:08:00,1.0,3.0,187168785,00,07,00
29,1900-01-03 00:08:10,1.0,3.0,187168785,00,07,10
49,1900-01-03 00:11:30,9.0,32.0,187168785,00,10,30
77,1900-01-03 00:16:10,11.0,39.0,187168785,00,15,10
130,1900-01-03 00:25:00,3.0,10.0,187168785,00,24,00
131,1900-01-03 00:25:10,3.0,10.0,187168785,00,24,10
132,1900-01-03 00:25:20,3.0,10.0,187168785,00,24,20
154,1900-01-03 00:29:00,2.0,7.0,187168785,00,28,00
155,1900-01-03 00:29:10,2.0,7.0,187168785,00,28,10
190,1900-01-03 00:35:00,6.0,21.0,187168785,00,34,00
210,1900-01-03 00:38:20,2.0,7.0,187168785,00,37,20
211,1900-01-03 00:38:30,2.0,7.0,187168785,00,37,30
212,1900-01-03 00:38:40,2.0,7.0,187168785,00,37,40
213,1900-01-03 00:38:50,2.0,7.0,187168785,00,37,50
214,1900-01-03 00:39:00,2.0,7.0,187168785,00,38,00
237,1900-01-03 00:42:50,8.0,28.0,187168785,00,41,50
238,1900-01-03 00:43:00,8.0,28.0,187168785,00,42,00
267,1900-01-03 00:47:50,4.0,14.0,187168785,00,46,50
269,1900-01-03 00:48:10,4.0,14.0,187168785,00,47,10
304,1900-01-03 00:54:00,2.0,7.0,187168785,00,53,00
305,1900-01-03 00:54:10,2.0,7.0,187168785,00,53,10
306,1900-01-03 00:54:20,2.0,7.0,187168785,00,53,20
307,1900-01-03 00:54:30,2.0,7.0,187168785,00,53,30
323,1900-01-03 00:57:10,3.0,10.0,187168785,00,56,10
324,1900-01-03 00:57:20,3.0,10.0,187168785,00,56,20
341,1900-01-03 01:00:10,2.0,7.0,187168785,00,59,10
342,1900-01-03 01:00:20,2.0,7.0,187168785,00,59,20
343,1900-01-03 01:00:30,2.0,7.0,187168785,00,59,30
344,1900-01-03 01:00:40,2.0,7.0,187168785,00,59,40
345,1900-01-03 01:00:50,2.0,7.0,187168785,00,59,50
346,1900-01-03 01:01:00,2.0,7.0,187168785,01,00,00
382,1900-01-03 01:07:00,28.0,100.0,187168785,01,06,00
401,1900-01-03 01:10:10,5.0,17.0,187168785,01,09,10
402,1900-01-03 01:10:20,5.0,17.0,187168785,01,09,20
403,1900-01-03 01:10:30,5.0,17.0,187168785,01,09,30
435,1900-01-03 01:15:50,6.0,21.0,187168785,01,14,50
436,1900-01-03 01:16:00,6.0,21.0,187168785,01,15,00
438,1900-01-03 01:16:20,6.0,21.0,187168785,01,15,20
458,1900-01-03 01:19:40,5.0,17.0,187168785,01,18,40
459,1900-01-03 01:19:50,5.0,17.0,187168785,01,18,50
489,1900-01-03 01:24:50,3.0,10.0,187168785,01,23,50
490,1900-01-03 01:25:00,3.0,10.0,187168785,01,24,00
510,1900-01-03 01:28:20,3.0,10.0,187168785,01,27,20
511,1900-01-03 01:28:30,3.0,10.0,187168785,01,27,30
537,1900-01-03 01:32:50,2.0,7.0,187168785,01,31,50
1,1900-01-05 00:02:40,2.0,15.0,187169436,00,01,40
17,1900-01-05 00:05:20,3.0,23.0,187169436,00,04,20
18,1900-01-05 00:05:30,3.0,23.0,187169436,00,04,30
37,1900-01-05 00:08:40,3.0,23.0,187169436,00,07,40
38,1900-01-05 00:08:50,3.0,23.0,187169436,00,07,50
48,1900-01-05 00:10:30,3.0,23.0,187169436,00,09,30
49,1900-01-05 00:10:40,3.0,23.0,187169436,00,09,40
50,1900-01-05 00:10:50,3.0,23.0,187169436,00,09,50
51,1900-01-05 00:11:00,3.0,23.0,187169436,00,10,00
74,1900-01-05 00:14:50,3.0,23.0,187169436,00,13,50
75,1900-01-05 00:15:00,3.0,23.0,187169436,00,14,00
76,1900-01-05 00:15:10,3.0,23.0,187169436,00,14,10
86,1900-01-05 00:16:50,3.0,23.0,187169436,00,15,50
87,1900-01-05 00:17:00,3.0,23.0,187169436,00,16,00
88,1900-01-05 00:17:10,3.0,23.0,187169436,00,16,10
96,1900-01-05 00:18:30,3.0,23.0,187169436,00,17,30
117,1900-01-05 00:22:00,6.0,46.0,187169436,00,21,00
118,1900-01-05 00:22:10,6.0,46.0,187169436,00,21,10
119,1900-01-05 00:22:20,6.0,46.0,187169436,00,21,20
120,1900-01-05 00:22:30,6.0,46.0,187169436,00,21,30
148,1900-01-05 00:27:10,2.0,15.0,187169436,00,26,10
149,1900-01-05 00:27:20,2.0,15.0,187169436,00,26,20
156,1900-01-05 00:28:30,2.0,15.0,187169436,00,27,30
157,1900-01-05 00:28:40,2.0,15.0,187169436,00,27,40
158,1900-01-05 00:28:50,2.0,15.0,187169436,00,27,50
175,1900-01-05 00:31:40,6.0,46.0,187169436,00,30,40
176,1900-01-05 00:31:50,6.0,46.0,187169436,00,30,50
177,1900-01-05 00:32:00,6.0,46.0,187169436,00,31,00
193,1900-01-05 00:34:40,5.0,38.0,187169436,00,33,40
212,1900-01-05 00:37:50,4.0,30.0,187169436,00,36,50
213,1900-01-05 00:38:00,4.0,30.0,187169436,00,37,00
214,1900-01-05 00:38:10,4.0,30.0,187169436,00,37,10
239,1900-01-05 00:42:20,13.0,100.0,187169436,00,41,20
240,1900-01-05 00:42:30,13.0,100.0,187169436,00,41,30
241,1900-01-05 00:42:40,13.0,100.0,187169436,00,41,40
289,1900-01-05 00:50:40,5.0,38.0,187169436,00,49,40
290,1900-01-05 00:50:50,5.0,38.0,187169436,00,49,50
291,1900-01-05 00:51:00,5.0,38.0,187169436,00,50,00
308,1900-01-05 00:53:50,2.0,15.0,187169436,00,52,50
309,1900-01-05 00:54:00,2.0,15.0,187169436,00,53,00
310,1900-01-05 00:54:10,2.0,15.0,187169436,00,53,10
311,1900-01-05 00:54:20,2.0,15.0,187169436,00,53,20
312,1900-01-05 00:54:30,2.0,15.0,187169436,00,53,30
313,1900-01-05 00:54:40,2.0,15.0,187169436,00,53,40
339,1900-01-05 00:59:00,3.0,23.0,187169436,00,58,00
340,1900-01-05 00:59:10,3.0,23.0,187169436,00,58,10
341,1900-01-05 00:59:20,3.0,23.0,187169436,00,58,20
342,1900-01-05 00:59:30,3.0,23.0,187169436,00,58,30
1,1900-01-07 00:04:00,2.0,28.0,187169616,00,03,00
2,1900-01-07 00:04:10,2.0,28.0,187169616,00,03,10
3,1900-01-07 00:04:20,2.0,28.0,187169616,00,03,20
4,1900-01-07 00:04:30,2.0,28.0,187169616,00,03,30
5,1900-01-07 00:04:40,2.0,28.0,187169616,00,03,40
38,1900-01-07 00:10:10,6.0,85.0,187169616,00,09,10
39,1900-01-07 00:10:20,6.0,85.0,187169616,00,09,20
71,1900-01-07 00:15:40,2.0,28.0,187169616,00,14,40
72,1900-01-07 00:15:50,2.0,28.0,187169616,00,14,50
73,1900-01-07 00:16:00,2.0,28.0,187169616,00,15,00
87,1900-01-07 00:18:20,2.0,28.0,187169616,00,17,20
91,1900-01-07 00:19:00,2.0,28.0,187169616,00,18,00
92,1900-01-07 00:19:10,2.0,28.0,187169616,00,18,10
102,1900-01-07 00:20:50,2.0,28.0,187169616,00,19,50
103,1900-01-07 00:21:00,2.0,28.0,187169616,00,20,00
104,1900-01-07 00:21:10,2.0,28.0,187169616,00,20,10
105,1900-01-07 00:21:20,2.0,28.0,187169616,00,20,20
106,1900-01-07 00:21:30,2.0,28.0,187169616,00,20,30
134,1900-01-07 00:26:10,1.0,14.0,187169616,00,25,10
135,1900-01-07 00:26:20,1.0,14.0,187169616,00,25,20
136,1900-01-07 00:26:30,1.0,14.0,187169616,00,25,30
137,1900-01-07 00:26:40,1.0,14.0,187169616,00,25,40
138,1900-01-07 00:26:50,1.0,14.0,187169616,00,25,50
139,1900-01-07 00:27:00,1.0,14.0,187169616,00,26,00
169,1900-01-07 00:32:00,4.0,57.0,187169616,00,31,00
170,1900-01-07 00:32:10,4.0,57.0,187169616,00,31,10
171,1900-01-07 00:32:20,4.0,57.0,187169616,00,31,20
185,1900-01-07 00:34:40,4.0,57.0,187169616,00,33,40
186,1900-01-07 00:34:50,4.0,57.0,187169616,00,33,50
187,1900-01-07 00:35:00,4.0,57.0,187169616,00,34,00
203,1900-01-07 00:37:40,3.0,42.0,187169616,00,36,40
228,1900-01-07 00:41:50,3.0,42.0,187169616,00,40,50
242,1900-01-07 00:44:10,3.0,42.0,187169616,00,43,10
259,1900-01-07 00:47:00,4.0,57.0,187169616,00,46,00
260,1900-01-07 00:47:10,4.0,57.0,187169616,00,46,10
269,1900-01-07 00:48:40,4.0,57.0,187169616,00,47,40
286,1900-01-07 00:51:30,2.0,28.0,187169616,00,50,30
287,1900-01-07 00:51:40,2.0,28.0,187169616,00,50,40
288,1900-01-07 00:51:50,2.0,28.0,187169616,00,50,50
289,1900-01-07 00:52:00,2.0,28.0,187169616,00,51,00
290,1900-01-07 00:52:10,2.0,28.0,187169616,00,51,10
291,1900-01-07 00:52:20,2.0,28.0,187169616,00,51,20
295,1900-01-07 00:53:00,2.0,28.0,187169616,00,52,00
296,1900-01-07 00:53:10,2.0,28.0,187169616,00,52,10
315,1900-01-07 00:56:20,4.0,57.0,187169616,00,55,20
316,1900-01-07 00:56:30,4.0,57.0,187169616,00,55,30
317,1900-01-07 00:56:40,4.0,57.0,187169616,00,55,40
318,1900-01-07 00:56:50,4.0,57.0,187169616,00,55,50
319,1900-01-07 00:57:00,4.0,57.0,187169616,00,56,00
345,1900-01-07 01:01:20,6.0,85.0,187169616,01,00,20
346,1900-01-07 01:01:30,6.0,85.0,187169616,01,00,30
381,1900-01-07 01:07:20,2.0,28.0,187169616,01,06,20
382,1900-01-07 01:07:30,2.0,28.0,187169616,01,06,30
383,1900-01-07 01:07:40,2.0,28.0,187169616,01,06,40
384,1900-01-07 01:07:50,2.0,28.0,187169616,01,06,50
400,1900-01-07 01:10:30,3.0,42.0,187169616,01,09,30
401,1900-01-07 01:10:40,3.0,42.0,187169616,01,09,40
402,1900-01-07 01:10:50,3.0,42.0,187169616,01,09,50
403,1900-01-07 01:11:00,3.0,42.0,187169616,01,10,00
404,1900-01-07 01:11:10,3.0,42.0,187169616,01,10,10
407,1900-01-07 01:11:40,3.0,42.0,187169616,01,10,40
408,1900-01-07 01:11:50,3.0,42.0,187169616,01,10,50
409,1900-01-07 01:12:00,3.0,42.0,187169616,01,11,00
410,1900-01-07 01:12:10,3.0,42.0,187169616,01,11,10
432,1900-01-07 01:15:50,7.0,100.0,187169616,01,14,50
433,1900-01-07 01:16:00,7.0,100.0,187169616,01,15,00
434,1900-01-07 01:16:10,7.0,100.0,187169616,01,15,10
451,1900-01-07 01:19:00,3.0,42.0,187169616,01,18,00
452,1900-01-07 01:19:10,3.0,42.0,187169616,01,18,10
453,1900-01-07 01:19:20,3.0,42.0,187169616,01,18,20
469,1900-01-07 01:22:00,4.0,57.0,187169616,01,21,00
470,1900-01-07 01:22:10,4.0,57.0,187169616,01,21,10
471,1900-01-07 01:22:20,4.0,57.0,187169616,01,21,20
472,1900-01-07 01:22:30,4.0,57.0,187169616,01,21,30
474,1900-01-07 01:22:50,4.0,57.0,187169616,01,21,50
506,1900-01-07 01:28:10,3.0,42.0,187169616,01,27,10
507,1900-01-07 01:28:20,3.0,42.0,187169616,01,27,20
508,1900-01-07 01:28:30,3.0,42.0,187169616,01,27,30
509,1900-01-07 01:28:40,3.0,42.0,187169616,01,27,40
510,1900-01-07 01:28:50,3.0,42.0,187169616,01,27,50
525,1900-01-07 01:31:20,3.0,42.0,187169616,01,30,20
526,1900-01-07 01:31:30,3.0,42.0,187169616,01,30,30
527,1900-01-07 01:31:40,3.0,42.0,187169616,01,30,40
528,1900-01-07 01:31:50,3.0,42.0,187169616,01,30,50
529,1900-01-07 01:32:00,3.0,42.0,187169616,01,31,00
538,1900-01-07 01:33:30,3.0,42.0,187169616,01,32,30
0,1900-01-09 00:00:10,1.0,7.0,187169710,23,59,10
1,1900-01-09 00:00:20,1.0,7.0,187169710,23,59,20
2,1900-01-09 00:00:30,1.0,7.0,187169710,23,59,30
3,1900-01-09 00:00:40,1.0,7.0,187169710,23,59,40
4,1900-01-09 00:00:50,1.0,7.0,187169710,23,59,50
5,1900-01-09 00:01:00,1.0,7.0,187169710,00,00,00
21,1900-01-09 00:03:40,0.0,0.0,187169710,00,02,40
42,1900-01-09 00:07:10,3.0,23.0,187169710,00,06,10
45,1900-01-09 00:07:40,3.0,23.0,187169710,00,06,40
46,1900-01-09 00:07:50,3.0,23.0,187169710,00,06,50
47,1900-01-09 00:08:00,3.0,23.0,187169710,00,07,00
50,1900-01-09 00:08:30,3.0,23.0,187169710,00,07,30
88,1900-01-09 00:14:50,3.0,23.0,187169710,00,13,50
89,1900-01-09 00:15:00,3.0,23.0,187169710,00,14,00
90,1900-01-09 00:15:10,3.0,23.0,187169710,00,14,10
91,1900-01-09 00:15:20,3.0,23.0,187169710,00,14,20
107,1900-01-09 00:18:00,2.0,15.0,187169710,00,17,00
108,1900-01-09 00:18:10,2.0,15.0,187169710,00,17,10
109,1900-01-09 00:18:20,2.0,15.0,187169710,00,17,20
110,1900-01-09 00:18:30,2.0,15.0,187169710,00,17,30
128,1900-01-09 00:21:30,3.0,23.0,187169710,00,20,30
129,1900-01-09 00:21:40,3.0,23.0,187169710,00,20,40
130,1900-01-09 00:21:50,3.0,23.0,187169710,00,20,50
131,1900-01-09 00:22:00,3.0,23.0,187169710,00,21,00
132,1900-01-09 00:22:10,3.0,23.0,187169710,00,21,10
133,1900-01-09 00:22:20,3.0,23.0,187169710,00,21,20
142,1900-01-09 00:23:50,3.0,23.0,187169710,00,22,50
143,1900-01-09 00:24:00,3.0,23.0,187169710,00,23,00
144,1900-01-09 00:24:10,3.0,23.0,187169710,00,23,10
147,1900-01-09 00:24:40,3.0,23.0,187169710,00,23,40
163,1900-01-09 00:27:20,2.0,15.0,187169710,00,26,20
164,1900-01-09 00:27:30,2.0,15.0,187169710,00,26,30
194,1900-01-09 00:32:30,6.0,46.0,187169710,00,31,30
195,1900-01-09 00:32:40,6.0,46.0,187169710,00,31,40
213,1900-01-09 00:35:40,6.0,46.0,187169710,00,34,40
214,1900-01-09 00:35:50,6.0,46.0,187169710,00,34,50
220,1900-01-09 00:36:50,6.0,46.0,187169710,00,35,50
221,1900-01-09 00:37:00,6.0,46.0,187169710,00,36,00
263,1900-01-09 00:44:00,4.0,30.0,187169710,00,43,00
265,1900-01-09 00:44:20,4.0,30.0,187169710,00,43,20
266,1900-01-09 00:44:30,4.0,30.0,187169710,00,43,30
267,1900-01-09 00:44:40,4.0,30.0,187169710,00,43,40
294,1900-01-09 00:49:10,5.0,38.0,187169710,00,48,10
334,1900-01-09 00:55:50,8.0,61.0,187169710,00,54,50
379,1900-01-09 01:03:20,3.0,23.0,187169710,01,02,20
380,1900-01-09 01:03:30,3.0,23.0,187169710,01,02,30
381,1900-01-09 01:03:40,3.0,23.0,187169710,01,02,40
382,1900-01-09 01:03:50,3.0,23.0,187169710,01,02,50
383,1900-01-09 01:04:00,3.0,23.0,187169710,01,03,00
422,1900-01-09 01:10:30,3.0,23.0,187169710,01,09,30
426,1900-01-09 01:11:10,3.0,23.0,187169710,01,10,10
432,1900-01-09 01:12:10,3.0,23.0,187169710,01,11,10
433,1900-01-09 01:12:20,3.0,23.0,187169710,01,11,20
434,1900-01-09 01:12:30,3.0,23.0,187169710,01,11,30
435,1900-01-09 01:12:40,3.0,23.0,187169710,01,11,40
436,1900-01-09 01:12:50,3.0,23.0,187169710,01,11,50
437,1900-01-09 01:13:00,3.0,23.0,187169710,01,12,00
462,1900-01-09 01:17:10,4.0,30.0,187169710,01,16,10
486,1900-01-09 01:21:10,2.0,15.0,187169710,01,20,10
487,1900-01-09 01:21:20,2.0,15.0,187169710,01,20,20
488,1900-01-09 01:21:30,2.0,15.0,187169710,01,20,30
489,1900-01-09 01:21:40,2.0,15.0,187169710,01,20,40
490,1900-01-09 01:21:50,2.0,15.0,187169710,01,20,50
491,1900-01-09 01:22:00,2.0,15.0,187169710,01,21,00
513,1900-01-09 01:25:40,1.0,7.0,187169710,01,24,40
514,1900-01-09 01:25:50,1.0,7.0,187169710,01,24,50
530,1900-01-09 01:28:30,2.0,15.0,187169710,01,27,30
531,1900-01-09 01:28:40,2.0,15.0,187169710,01,27,40
532,1900-01-09 01:28:50,2.0,15.0,187169710,01,27,50
563,1900-01-09 01:34:00,2.0,15.0,187169710,01,33,00
564,1900-01-09 01:34:10,2.0,15.0,187169710,01,33,10
565,1900-01-09 01:34:20,2.0,15.0,187169710,01,33,20
567,1900-01-09 01:34:40,2.0,15.0,187169710,01,33,40
568,1900-01-09 01:34:50,2.0,15.0,187169710,01,33,50
599,1900-01-09 01:40:00,2.0,15.0,187169710,01,39,00
600,1900-01-09 01:40:10,2.0,15.0,187169710,01,39,10
601,1900-01-09 01:40:20,2.0,15.0,187169710,01,39,20
619,1900-01-09 01:43:20,2.0,15.0,187169710,01,42,20
620,1900-01-09 01:43:30,2.0,15.0,187169710,01,42,30
621,1900-01-09 01:43:40,2.0,15.0,187169710,01,42,40
622,1900-01-09 01:43:50,2.0,15.0,187169710,01,42,50
623,1900-01-09 01:44:00,2.0,15.0,187169710,01,43,00
624,1900-01-09 01:44:10,2.0,15.0,187169710,01,43,10
652,1900-01-09 01:48:50,13.0,100.0,187169710,01,47,50
674,1900-01-09 01:52:30,3.0,23.0,187169710,01,51,30
675,1900-01-09 01:52:40,3.0,23.0,187169710,01,51,40
676,1900-01-09 01:52:50,3.0,23.0,187169710,01,51,50
3,1900-01-11 00:02:20,2.0,20.0,201144151,00,01,20
4,1900-01-11 00:02:30,2.0,20.0,201144151,00,01,30
5,1900-01-11 00:02:40,2.0,20.0,201144151,00,01,40
21,1900-01-11 00:05:20,1.0,10.0,201144151,00,04,20
22,1900-01-11 00:05:30,1.0,10.0,201144151,00,04,30
55,1900-01-11 00:11:00,5.0,50.0,201144151,00,10,00
59,1900-01-11 00:11:40,5.0,50.0,201144151,00,10,40
100,1900-01-11 00:18:30,7.0,70.0,201144151,00,17,30
101,1900-01-11 00:18:40,7.0,70.0,201144151,00,17,40
133,1900-01-11 00:24:00,5.0,50.0,201144151,00,23,00
151,1900-01-11 00:27:00,4.0,40.0,201144151,00,26,00
152,1900-01-11 00:27:10,4.0,40.0,201144151,00,26,10
153,1900-01-11 00:27:20,4.0,40.0,201144151,00,26,20
180,1900-01-11 00:31:50,7.0,70.0,201144151,00,30,50
181,1900-01-11 00:32:00,7.0,70.0,201144151,00,31,00
182,1900-01-11 00:32:10,7.0,70.0,201144151,00,31,10
183,1900-01-11 00:32:20,7.0,70.0,201144151,00,31,20
218,1900-01-11 00:38:10,7.0,70.0,201144151,00,37,10
237,1900-01-11 00:41:20,2.0,20.0,201144151,00,40,20
238,1900-01-11 00:41:30,2.0,20.0,201144151,00,40,30
244,1900-01-11 00:42:30,2.0,20.0,201144151,00,41,30
245,1900-01-11 00:42:40,2.0,20.0,201144151,00,41,40
246,1900-01-11 00:42:50,2.0,20.0,201144151,00,41,50
248,1900-01-11 00:43:10,2.0,20.0,201144151,00,42,10
249,1900-01-11 00:43:20,2.0,20.0,201144151,00,42,20
271,1900-01-11 00:47:00,1.0,10.0,201144151,00,46,00
291,1900-01-11 00:50:20,6.0,60.0,201144151,00,49,20
329,1900-01-11 00:56:40,8.0,80.0,201144151,00,55,40
365,1900-01-11 01:02:40,4.0,40.0,201144151,01,01,40
367,1900-01-11 01:03:00,4.0,40.0,201144151,01,02,00
368,1900-01-11 01:03:10,4.0,40.0,201144151,01,02,10
369,1900-01-11 01:03:20,4.0,40.0,201144151,01,02,20
370,1900-01-11 01:03:30,4.0,40.0,201144151,01,02,30
399,1900-01-11 01:08:20,8.0,80.0,201144151,01,07,20
401,1900-01-11 01:08:40,8.0,80.0,201144151,01,07,40
402,1900-01-11 01:08:50,8.0,80.0,201144151,01,07,50
421,1900-01-11 01:12:00,10.0,100.0,201144151,01,11,00
441,1900-01-11 01:15:20,2.0,20.0,201144151,01,14,20
455,1900-01-11 01:17:40,2.0,20.0,201144151,01,16,40
456,1900-01-11 01:17:50,2.0,20.0,201144151,01,16,50
457,1900-01-11 01:18:00,2.0,20.0,201144151,01,17,00
458,1900-01-11 01:18:10,2.0,20.0,201144151,01,17,10
459,1900-01-11 01:18:20,2.0,20.0,201144151,01,17,20
497,1900-01-11 01:24:40,4.0,40.0,201144151,01,23,40
498,1900-01-11 01:24:50,4.0,40.0,201144151,01,23,50
499,1900-01-11 01:25:00,4.0,40.0,201144151,01,24,00
500,1900-01-11 01:25:10,4.0,40.0,201144151,01,24,10
513,1900-01-11 01:27:20,4.0,40.0,201144151,01,26,20
514,1900-01-11 01:27:30,4.0,40.0,201144151,01,26,30
515,1900-01-11 01:27:40,4.0,40.0,201144151,01,26,40
516,1900-01-11 01:27:50,4.0,40.0,201144151,01,26,50
0,1900-01-13 00:01:30,1.0,5.0,201144240,00,00,30
1,1900-01-13 00:01:40,1.0,5.0,201144240,00,00,40
2,1900-01-13 00:01:50,1.0,5.0,201144240,00,00,50
3,1900-01-13 00:02:00,1.0,5.0,201144240,00,01,00
4,1900-01-13 00:02:10,1.0,5.0,201144240,00,01,10
5,1900-01-13 00:02:20,1.0,5.0,201144240,00,01,20
23,1900-01-13 00:05:20,2.0,11.0,201144240,00,04,20
24,1900-01-13 00:05:30,2.0,11.0,201144240,00,04,30
25,1900-01-13 00:05:40,2.0,11.0,201144240,00,04,40
26,1900-01-13 00:05:50,2.0,11.0,201144240,00,04,50
27,1900-01-13 00:06:00,2.0,11.0,201144240,00,05,00
41,1900-01-13 00:08:20,2.0,11.0,201144240,00,07,20
42,1900-01-13 00:08:30,2.0,11.0,201144240,00,07,30
43,1900-01-13 00:08:40,2.0,11.0,201144240,00,07,40
44,1900-01-13 00:08:50,2.0,11.0,201144240,00,07,50
45,1900-01-13 00:09:00,2.0,11.0,201144240,00,08,00
46,1900-01-13 00:09:10,2.0,11.0,201144240,00,08,10
53,1900-01-13 00:10:20,2.0,11.0,201144240,00,09,20
54,1900-01-13 00:10:30,2.0,11.0,201144240,00,09,30
64,1900-01-13 00:12:10,2.0,11.0,201144240,00,11,10
65,1900-01-13 00:12:20,2.0,11.0,201144240,00,11,20
66,1900-01-13 00:12:30,2.0,11.0,201144240,00,11,30
67,1900-01-13 00:12:40,2.0,11.0,201144240,00,11,40
97,1900-01-13 00:17:40,0.0,0.0,201144240,00,16,40
98,1900-01-13 00:17:50,0.0,0.0,201144240,00,16,50
99,1900-01-13 00:18:00,0.0,0.0,201144240,00,17,00
100,1900-01-13 00:18:10,0.0,0.0,201144240,00,17,10
116,1900-01-13 00:20:50,1.0,5.0,201144240,00,19,50
117,1900-01-13 00:21:00,1.0,5.0,201144240,00,20,00
118,1900-01-13 00:21:10,1.0,5.0,201144240,00,20,10
119,1900-01-13 00:21:20,1.0,5.0,201144240,00,20,20
120,1900-01-13 00:21:30,1.0,5.0,201144240,00,20,30
121,1900-01-13 00:21:40,1.0,5.0,201144240,00,20,40
139,1900-01-13 00:24:40,1.0,5.0,201144240,00,23,40
140,1900-01-13 00:24:50,1.0,5.0,201144240,00,23,50
141,1900-01-13 00:25:00,1.0,5.0,201144240,00,24,00
142,1900-01-13 00:25:10,1.0,5.0,201144240,00,24,10
143,1900-01-13 00:25:20,1.0,5.0,201144240,00,24,20
144,1900-01-13 00:25:30,1.0,5.0,201144240,00,24,30
175,1900-01-13 00:30:40,2.0,11.0,201144240,00,29,40
176,1900-01-13 00:30:50,2.0,11.0,201144240,00,29,50
177,1900-01-13 00:31:00,2.0,11.0,201144240,00,30,00
178,1900-01-13 00:31:10,2.0,11.0,201144240,00,30,10
203,1900-01-13 00:35:20,4.0,22.0,201144240,00,34,20
204,1900-01-13 00:35:30,4.0,22.0,201144240,00,34,30
221,1900-01-13 00:38:20,4.0,22.0,201144240,00,37,20
222,1900-01-13 00:38:30,4.0,22.0,201144240,00,37,30
284,1900-01-13 00:48:50,18.0,100.0,201144240,00,47,50
310,1900-01-13 00:53:10,4.0,22.0,201144240,00,52,10
311,1900-01-13 00:53:20,4.0,22.0,201144240,00,52,20
312,1900-01-13 00:53:30,4.0,22.0,201144240,00,52,30
340,1900-01-13 00:58:10,5.0,27.0,201144240,00,57,10
341,1900-01-13 00:58:20,5.0,27.0,201144240,00,57,20
345,1900-01-13 00:59:00,5.0,27.0,201144240,00,58,00
383,1900-01-13 01:05:20,1.0,5.0,201144240,01,04,20
5,1900-01-15 00:01:50,3.0,17.0,205083486,00,00,50
8,1900-01-15 00:02:20,3.0,17.0,205083486,00,01,20
22,1900-01-15 00:04:40,3.0,17.0,205083486,00,03,40
23,1900-01-15 00:04:50,3.0,17.0,205083486,00,03,50
43,1900-01-15 00:08:10,2.0,11.0,205083486,00,07,10
44,1900-01-15 00:08:20,2.0,11.0,205083486,00,07,20
47,1900-01-15 00:08:50,2.0,11.0,205083486,00,07,50
48,1900-01-15 00:09:00,2.0,11.0,205083486,00,08,00
50,1900-01-15 00:09:20,2.0,11.0,205083486,00,08,20
51,1900-01-15 00:09:30,2.0,11.0,205083486,00,08,30
52,1900-01-15 00:09:40,2.0,11.0,205083486,00,08,40
58,1900-01-15 00:10:40,2.0,11.0,205083486,00,09,40
59,1900-01-15 00:10:50,2.0,11.0,205083486,00,09,50
95,1900-01-15 00:16:50,9.0,52.0,205083486,00,15,50
119,1900-01-15 00:20:50,5.0,29.0,205083486,00,19,50
120,1900-01-15 00:21:00,5.0,29.0,205083486,00,20,00
153,1900-01-15 00:26:30,10.0,58.0,205083486,00,25,30
154,1900-01-15 00:26:40,10.0,58.0,205083486,00,25,40
155,1900-01-15 00:26:50,10.0,58.0,205083486,00,25,50
174,1900-01-15 00:30:00,4.0,23.0,205083486,00,29,00
175,1900-01-15 00:30:10,4.0,23.0,205083486,00,29,10
176,1900-01-15 00:30:20,4.0,23.0,205083486,00,29,20
205,1900-01-15 00:35:10,4.0,23.0,205083486,00,34,10
206,1900-01-15 00:35:20,4.0,23.0,205083486,00,34,20
207,1900-01-15 00:35:30,4.0,23.0,205083486,00,34,30
208,1900-01-15 00:35:40,4.0,23.0,205083486,00,34,40
237,1900-01-15 00:40:30,10.0,58.0,205083486,00,39,30
238,1900-01-15 00:40:40,10.0,58.0,205083486,00,39,40
239,1900-01-15 00:40:50,10.0,58.0,205083486,00,39,50
240,1900-01-15 00:41:00,10.0,58.0,205083486,00,40,00
276,1900-01-15 00:47:00,5.0,29.0,205083486,00,46,00
306,1900-01-15 00:52:00,17.0,100.0,205083486,00,51,00
332,1900-01-15 00:56:20,3.0,17.0,205083486,00,55,20
333,1900-01-15 00:56:30,3.0,17.0,205083486,00,55,30
364,1900-01-15 01:01:40,15.0,88.0,205083486,01,00,40
2,1900-01-17 00:02:00,5.0,27.0,205084728,00,01,00
3,1900-01-17 00:02:10,5.0,27.0,205084728,00,01,10
4,1900-01-17 00:02:20,5.0,27.0,205084728,00,01,20
5,1900-01-17 00:02:30,5.0,27.0,205084728,00,01,30
37,1900-01-17 00:07:50,5.0,27.0,205084728,00,06,50
38,1900-01-17 00:08:00,5.0,27.0,205084728,00,07,00
71,1900-01-17 00:13:30,5.0,27.0,205084728,00,12,30
72,1900-01-17 00:13:40,5.0,27.0,205084728,00,12,40
75,1900-01-17 00:14:10,5.0,27.0,205084728,00,13,10
